var,value_type,dataset_id
PR6,string,NJ_SID_2012_CORE
PR7,string,NJ_SID_2012_CORE
PR8,string,NJ_SID_2012_CORE
PR9,string,NJ_SID_2012_CORE
PR10,string,NJ_SID_2012_CORE
PR11,string,NJ_SID_2012_CORE
PR12,string,NJ_SID_2012_CORE
PR13,string,NJ_SID_2012_CORE
PR14,string,NJ_SID_2012_CORE
PR15,string,NJ_SID_2012_CORE
PR16,string,NJ_SID_2012_CORE
PR17,string,NJ_SID_2012_CORE
PR18,string,NJ_SID_2012_CORE
PR19,string,NJ_SID_2012_CORE
PR20,string,NJ_SID_2012_CORE
PR21,string,NJ_SID_2012_CORE
PR22,string,NJ_SID_2012_CORE
PR23,string,NJ_SID_2012_CORE
PR24,string,NJ_SID_2012_CORE
PR25,string,NJ_SID_2012_CORE
PRCCS1,double,NJ_SID_2012_CORE
PRCCS2,double,NJ_SID_2012_CORE
PRCCS3,double,NJ_SID_2012_CORE
PRCCS4,double,NJ_SID_2012_CORE
PRCCS5,double,NJ_SID_2012_CORE
PRCCS6,double,NJ_SID_2012_CORE
PRCCS7,double,NJ_SID_2012_CORE
PRCCS8,double,NJ_SID_2012_CORE
PRCCS9,double,NJ_SID_2012_CORE
PRCCS10,double,NJ_SID_2012_CORE
PRCCS11,double,NJ_SID_2012_CORE
PRCCS12,double,NJ_SID_2012_CORE
PRCCS13,double,NJ_SID_2012_CORE
PRCCS14,double,NJ_SID_2012_CORE
PRCCS15,double,NJ_SID_2012_CORE
PRCCS16,double,NJ_SID_2012_CORE
PRCCS17,double,NJ_SID_2012_CORE
PRCCS18,double,NJ_SID_2012_CORE
PRCCS19,double,NJ_SID_2012_CORE
PRCCS20,double,NJ_SID_2012_CORE
PRCCS21,double,NJ_SID_2012_CORE
PRCCS22,double,NJ_SID_2012_CORE
PRCCS23,double,NJ_SID_2012_CORE
PRCCS24,double,NJ_SID_2012_CORE
PRCCS25,double,NJ_SID_2012_CORE
PRDAY1,double,NJ_SID_2012_CORE
PRDAY2,double,NJ_SID_2012_CORE
PRDAY3,double,NJ_SID_2012_CORE
PRDAY4,double,NJ_SID_2012_CORE
PRDAY5,double,NJ_SID_2012_CORE
PRDAY6,double,NJ_SID_2012_CORE
PRDAY7,double,NJ_SID_2012_CORE
PRDAY8,double,NJ_SID_2012_CORE
PRDAY9,double,NJ_SID_2012_CORE
PRDAY10,double,NJ_SID_2012_CORE
PRDAY11,double,NJ_SID_2012_CORE
